Name,Hash,Id,Tag,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Reverie Dawn Strides,344548395,"""6917529093438112688""",keep,Legendary,Leg Armor,Hunter,700,Arc Damage Resistance,2,3,0,0,,Mobile Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Riven's Curse,Tier 2 Armor,Burnished Dreams,Linear Fusion Dexterity,Enhanced Rocket Launcher Dexterity,Machine Gun Dexterity,Auto Rifle Scavenger,Special Ammo Finder
Tangled Web Strides,2206284939,"""6917529090881226501""",,Legendary,Leg Armor,Hunter,689,Arc Damage Resistance,3,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 3 Armor,Linear Fusion Dexterity,Perpetuation,Scout Rifle Scavenger,Special Ammo Finder,,,
Wing Contender,1084033161,"""6917529091659439907""",,Legendary,Leg Armor,Hunter,700,Arc Damage Resistance,2,3,0,0,,Mobile Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Crucible Legacy,Rocket Launcher Dexterity,Shotgun Dexterity,Scout Rifle Scavenger,Special Ammo Finder,,
Ancient Apocalypse Cloak,3184912423,"""6917529091210578473""",,Legendary,Hunter Cloak,Hunter,695,Arc Damage Resistance,3,0,0,0,,Tier 3 Armor,Gambit Leather,Invigoration,Better Already,Bow Reserves,Special Ammo Finder,,,,,
Woven Firesmith Cape,4106007668,"""6917529090861922421""",,Legendary,Hunter Cloak,Hunter,676,Arc Damage Resistance,1,0,0,0,,Ordnance Mod,Tier 1 Armor,New Age Black Armory,Innervation,Invigoration,Shotgun Reserves,Special Ammo Finder,,,,
Reverie Dawn Cloak,3306564654,"""6917529093186899717""",keep,Legendary,Hunter Cloak,Hunter,700,Void Damage Resistance,2,0,0,0,,Riven's Curse,Tier 2 Armor,Burnished Dreams,Insulation,Innervation,Recuperation,Bow Reserves,Arrow Scavenger,,,
Notorious Reaper Cloak,1916971416,"""6917529091309930786""",keep,Legendary,Hunter Cloak,Hunter,681,Solar Damage Resistance,2,0,0,0,,Reaper +3,Tier 2 Armor,Innervation,Invigoration,Recuperation,Sword Reserves,Machine Gun Reserves,,,,
Outlawed Sentry Cloak,950313583,"""6917529090925775711""",,Legendary,Hunter Cloak,Hunter,691,Void Damage Resistance,2,0,0,0,,Sentry +2,Tier 2 Armor,Innervation,Better Already,Grenade Launcher Reserves,Pulse Rifle Scavenger,,,,,
Ancient Apocalypse Cloak,3184912423,"""6917529093281058247""",,Legendary,Hunter Cloak,Hunter,700,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,Gambit Leather,Innervation,Invigoration,Bow Reserves,Grenade Launcher Scavenger,,,,,
Thorium Holt Bond,554000115,"""6917529093542887209""",,Legendary,Warlock Bond,Warlock,684,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,Innervation,Better Already,Fusion Rifle Reserves,Submachine Gun Scavenger,,,,,,
Wing Contender,1069887756,"""6917529090867743932""",keep,Legendary,Hunter Cloak,Hunter,677,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,Crucible Legacy,Innervation,Invigoration,Sword Reserves,Rocket Launcher Scavenger,,,,,
Wing Contender,1069887756,"""6917529091659437118""",,Legendary,Hunter Cloak,Hunter,700,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Crucible Legacy,Insulation,Recuperation,Linear Fusion Rifle Reserves,Special Ammo Finder,,,,,
Mythos Hack 4.1,423789,"""6917529093546632787""",,Rare,Gauntlets,Hunter,379,,,1,1,0,,Survivalist Hunter Armor,,,,,,,,,,
Prodigal Mask,4104298449,"""6917529091871701547""",,Legendary,Helmet,Hunter,700,Void Damage Resistance,1,1,0,2,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Sidearm Targeting,Light Reactor,Rocket Launcher Reserves,Machine Gun Reserves,,,
Ancient Apocalypse Grips,2130645994,"""6917529090193739331""",,Legendary,Gauntlets,Hunter,700,Solar Damage Resistance,3,2,0,1,,Mobile Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 3 Armor,Gambit Leather,Fastball,Machine Gun Loader,Sword Scavenger,Machine Gun Scavenger,
Wing Contender,3211001969,"""6917529085329116270""",,Legendary,Chest Armor,Hunter,696,Void Damage Resistance,1,1,2,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Super Mod,Tier 1 Armor,Crucible Legacy,Unflinching Fusion Rifle Aim,Unflinching Pulse Rifle Aim,Sidearm Reserves,Submachine Gun Reserves,
Memory of Cayde Cloak,625602056,"""6917529090142291200""",,Legendary,Hunter Cloak,Hunter,700,Arc Damage Resistance,1,0,0,0,,Paragon Mod,Tier 1 Armor,Insulation,Heavy Ammo Finder,,,,,,,
Wing Discipline,2124666626,"""6917529092564267115""",,Legendary,Helmet,Titan,700,Void Damage Resistance,4,1,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 4 Armor,Crucible Legacy,Bow Targeting,Hands-On,Fusion Rifle Reserves,Linear Fusion Rifle Reserves,,
Tangled Web Helm,2982412348,"""6917529092764079851""",favorite,Legendary,Helmet,Titan,676,Solar Damage Resistance,1,1,0,3,,Heavy Titan Armor,Mobility Enhancement Mod,Restorative Mod,Resilience Mod,Tier 1 Armor,Light Reactor,Kinetic Weapon Targeting,Fusion Rifle Reserves,Heavy Ammo Finder,,
Ancient Apocalypse Helm,3031848199,"""6917529090444978578""",,Legendary,Helmet,Titan,677,Solar Damage Resistance,3,0,0,3,,Heavy Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Gambit Leather,Fusion Rifle Targeting,Kinetic Weapon Targeting,Sniper Rifle Reserves,Special Ammo Finder,,
Ancient Apocalypse Helm,3031848199,"""6917529092043640473""",,Legendary,Helmet,Titan,700,Arc Damage Resistance,1,0,0,3,,Heavy Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Gambit Leather,Pulse Rifle Targeting,Machine Gun Targeting,Linear Fusion Rifle Reserves,Sniper Rifle Reserves,,
Vigil of Heroes,1514863327,"""6917529092290648993""",,Legendary,Helmet,Titan,700,Void Damage Resistance,1,0,0,3,,Heavy Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Vanguard Veteran,Pulse Rifle Targeting,Scatter Projectile Targeting,Rocket Launcher Reserves,Machine Gun Reserves,,
Wing Discipline,2124666626,"""6917529091795094613""",,Legendary,Helmet,Titan,692,Void Damage Resistance,1,1,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Legacy,Fusion Rifle Targeting,Pulse Rifle Targeting,Linear Fusion Rifle Reserves,Sword Reserves,,
Inaugural Revelry Helm,438524081,"""6917529092562159771""",,Legendary,Helmet,Titan,700,Void Damage Resistance,1,0,1,2,,Heavy Titan Armor,Mobility Enhancement Mod,Restorative Mod,Transcendent Blessing,Tier 1 Armor,Bow Targeting,Sidearm Targeting,Rocket Launcher Reserves,Special Ammo Finder,,
Mimetic Savior Helm,3839471140,"""6917529091782686326""",,Legendary,Helmet,Titan,693,Void Damage Resistance,2,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Fusion Rifle Targeting,Hand Cannon Targeting,Fusion Rifle Reserves,Heavy Ammo Finder,,,
Bulletsmith's Ire Gauntlets,4125324487,"""6917529092537949728""",,Legendary,Gauntlets,Titan,700,Arc Damage Resistance,1,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Bow Reloader,Hand Cannon Loader,Fastball,Sword Scavenger,Special Ammo Finder,
Iron Symmachy Gauntlets,2331748167,"""6917529092687603010""",,Legendary,Gauntlets,Titan,676,Solar Damage Resistance,3,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Iron Ruby,Impact Induction,Machine Gun Loader,Rocket Launcher Scavenger,Special Ammo Finder,,
Vigil of Heroes,1490307366,"""6917529092043641428""",,Legendary,Gauntlets,Titan,698,Void Damage Resistance,1,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Vanguard Veteran,Momentum Transfer,Energy Weapon Loader,Fusion Rifle Scavenger,Linear Fusion Rifle Scavenger,,
Wing Discipline,1464207979,"""6917529091828295289""",keep,Legendary,Gauntlets,Titan,697,Solar Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Crucible Legacy,Scout Rifle Loader,Power Weapon Loader,Grenade Launcher Scavenger,Shotgun Scavenger,,
Wing Discipline,1464207979,"""6917529092066764652""",,Legendary,Gauntlets,Titan,700,Solar Damage Resistance,1,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Crucible Legacy,Hand Cannon Loader,Impact Induction,Fusion Rifle Scavenger,Machine Gun Scavenger,,
Vigil of Heroes,335317194,"""6917529091828294451""",,Legendary,Chest Armor,Titan,697,Arc Damage Resistance,2,2,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Vanguard Veteran,Unflinching Linear Fusion Aim,Unflinching Scout Rifle Aim,Submachine Gun Reserves,Special Ammo Finder,,
Bulletsmith's Ire Plate,2530113265,"""6917529092185720494""",keep,Legendary,Chest Armor,Titan,700,Solar Damage Resistance,2,0,1,3,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Unflinching Grenade Launcher Aim,Unflinching Scout Rifle Aim,Enhanced Unflinching Linear Fusion Aim,Pulse Rifle Reserves,Sidearm Reserves,
Mimetic Savior Plate,3066154883,"""6917529090436447633""",,Legendary,Chest Armor,Titan,652,Solar Damage Resistance,1,2,1,1,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Unflinching Grenade Launcher Aim,Unflinching Submachine Gun Aim,Sidearm Reserves,Primary Ammo Finder,,,
Wing Discipline,1063904165,"""6917529092684305026""",,Legendary,Chest Armor,Titan,700,Arc Damage Resistance,1,1,1,2,,Restorative Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Legacy,Unflinching Hand Cannon Aim,Unflinching Power Aim,Scout Rifle Reserves,Primary Ammo Finder,,
Bulletsmith's Ire Plate,2530113265,"""6917529090513126754""",keep,Legendary,Chest Armor,Titan,681,Arc Damage Resistance,1,1,1,2,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Unflinching Auto Rifle Aim,Unflinching Large Arms,Unflinching Machine Gun,Hand Cannon Reserves,Sidearm Reserves,
Tangled Web Plate,2562470699,"""6917529091777019184""",,Legendary,Chest Armor,Titan,693,Void Damage Resistance,1,2,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Unflinching Linear Fusion Aim,Unflinching Scout Rifle Aim,Auto Rifle Reserves,Scout Rifle Reserves,,,
Greaves of the Great Hunt,3055836250,"""6917529092043633928""",,Legendary,Leg Armor,Titan,700,Void Damage Resistance,1,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Scout Rifle Dexterity,Outreach,Dynamo,Hand Cannon Scavenger,Special Ammo Finder,,
Prodigal Greaves,3360070350,"""6917529091792186963""",,Legendary,Leg Armor,Titan,697,Solar Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Fusion Rifle Dexterity,Shotgun Dexterity,Submachine Gun Scavenger,Special Ammo Finder,,,
Prodigal Greaves,3360070350,"""6917529092560191768""",,Legendary,Leg Armor,Titan,700,Arc Damage Resistance,2,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Auto Rifle Dexterity,Outreach,Scout Rifle Scavenger,Sidearm Scavenger,,,
Bulletsmith's Ire Greaves,2878130185,"""6917529091874504013""",,Legendary,Leg Armor,Titan,698,Arc Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Auto Rifle Dexterity,Hand Cannon Dexterity,Submachine Gun Dexterity,Hand Cannon Scavenger,Scout Rifle Scavenger,
Prodigal Greaves,3360070350,"""6917529092690469638""",,Legendary,Leg Armor,Titan,673,Solar Damage Resistance,2,2,1,0,,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Dynamo,Machine Gun Dexterity,Hand Cannon Scavenger,Primary Ammo Finder,,,
Inaugural Revelry Greaves,156518114,"""6917529092556228759""",,Legendary,Leg Armor,Titan,680,Void Damage Resistance,2,2,2,0,,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Transcendent Blessing,Tier 2 Armor,Traction,Outreach,Pulse Rifle Scavenger,Primary Ammo Finder,,
Wing Discipline,185853176,"""6917529092564268819""",keep,Legendary,Titan Mark,Titan,700,Arc Damage Resistance,2,0,0,0,,Tier 2 Armor,Crucible Legacy,Innervation,Recuperation,Sniper Rifle Scavenger,Sword Scavenger,,,,,
Scatterhorn Mark,1347463276,"""6917529090312154131""",,Legendary,Titan Mark,Titan,663,Arc Damage Resistance,2,0,0,0,,Tier 2 Armor,Tangled Rust,Insulation,Innervation,Fusion Rifle Scavenger,Submachine Gun Scavenger,,,,,
Wing Discipline,185853176,"""6917529092562152214""",keep,Legendary,Titan Mark,Titan,676,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,Crucible Legacy,Insulation,Recuperation,Fusion Rifle Reserves,Shotgun Reserves,,,,,
Sunbreak Mark,1471849583,"""6917529093296371777""",keep,Legendary,Titan Mark,Titan,10,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Insulation,Better Already,Fusion Rifle Scavenger,Shotgun Scavenger,,,,,,
Vigil of Heroes,506100699,"""6917529090509800788""",,Legendary,Titan Mark,Titan,680,Solar Damage Resistance,1,0,0,0,,Super Mod,Tier 1 Armor,Vanguard Veteran,Innervation,Better Already,Hand Cannon Reserves,Fusion Rifle Scavenger,,,,
Tangled Web Mark,919186882,"""6917529093356641145""",,Legendary,Titan Mark,Titan,681,Solar Damage Resistance,3,0,0,0,,Tier 3 Armor,Insulation,Recuperation,Arrow Scavenger,Rocket Launcher Scavenger,,,,,,
Ancient Apocalypse Mark,3339632627,"""6917529092043637782""",,Legendary,Titan Mark,Titan,699,Arc Damage Resistance,1,0,0,0,,Tier 1 Armor,Gambit Leather,Innervation,Better Already,Sword Scavenger,Machine Gun Reserves,,,,,
Mark of the Great Hunt,1021341893,"""6917529089101092164""",keep,Legendary,Titan Mark,Titan,650,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Insulation,Recuperation,Better Already,Linear Fusion Rifle Scavenger,Machine Gun Reserves,,,,,
Memory of Cayde Mark,3544711340,"""6917529069524767656""",keep,Legendary,Titan Mark,Titan,688,Arc Damage Resistance,2,0,0,0,,Impact Mod,Tier 2 Armor,Invigoration,Heavy Ammo Finder,,,,,,,
Tangled Web Helm,2982412348,"""6917529093195410688""",,Legendary,Helmet,Titan,685,Arc Damage Resistance,2,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Power Weapon Targeting,Precision Weapon Targeting,Grenade Launcher Reserves,Rocket Launcher Reserves,,,
Reverie Dawn Helm,4097166900,"""6917529093378920257""",,Legendary,Helmet,Titan,700,Solar Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Restorative Mod,Riven's Curse,Tier 1 Armor,Burnished Dreams,Sniper Rifle Targeting,Pump Action,Kinetic Weapon Targeting,Fusion Rifle Reserves,Special Ammo Finder
Reverie Dawn Greaves,3174233615,"""6917529093381982652""",keep,Legendary,Leg Armor,Titan,700,Arc Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Restorative Mod,Riven's Curse,Tier 1 Armor,Burnished Dreams,Grenade Launcher Dexterity,Perpetuation,Dynamo,Auto Rifle Scavenger,Sidearm Scavenger
Vigil of Heroes,1490307366,"""6917529084937897700""",,Legendary,Gauntlets,Titan,650,Arc Damage Resistance,3,1,0,2,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Ordnance Mod,Tier 3 Armor,Vanguard Veteran,Fusion Rifle Loader,Sidearm Loader,Shotgun Scavenger,Sword Scavenger,
Wing Discipline,1063904165,"""6917529092687610306""",,Legendary,Chest Armor,Titan,700,Void Damage Resistance,2,2,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Transcendent Blessing,Tier 2 Armor,Crucible Legacy,Unflinching Auto Rifle Aim,Unflinching Energy Aim,Auto Rifle Reserves,Scout Rifle Reserves,
Vigil of Heroes,1007759904,"""6917529092299691247""",,Legendary,Leg Armor,Titan,700,Arc Damage Resistance,1,0,0,3,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 1 Armor,Vanguard Veteran,Bomber,Machine Gun Dexterity,Pulse Rifle Scavenger,Sidearm Scavenger,
Inaugural Revelry Mark,3148074173,"""6917529092566342464""",,Legendary,Titan Mark,Titan,700,Void Damage Resistance,4,0,0,0,,Transcendent Blessing,Tier 4 Armor,Insulation,Recuperation,Sniper Rifle Reserves,Sword Scavenger,,,,,
Tangled Web Hood,1664085089,"""6917529093518878925""",,Legendary,Helmet,Warlock,685,Arc Damage Resistance,2,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Hands-On,Kinetic Weapon Targeting,Linear Fusion Rifle Reserves,Special Ammo Finder,,,
Tangled Web Hood,1664085089,"""6917529092088393940""",,Legendary,Helmet,Warlock,700,Void Damage Resistance,1,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Light Reactor,Machine Gun Targeting,Sniper Rifle Reserves,Machine Gun Reserves,,,
Scatterhorn Hood,2411325265,"""6917529092088399041""",keep,Legendary,Helmet,Warlock,700,Arc Damage Resistance,1,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Tangled Rust,Precision Weapon Targeting,Machine Gun Targeting,Linear Fusion Rifle Reserves,Heavy Ammo Finder,,
Inaugural Revelry Hood,3738044006,"""6917529092153966305""",,Legendary,Helmet,Warlock,700,Solar Damage Resistance,1,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Ashes to Assets,Scatter Projectile Targeting,Grenade Launcher Reserves,Machine Gun Reserves,,,
